timestamp,tweet_text,username,followers_count
2020-10-24 14:08:38,"b'@PMOIndia Dear Sir,  I think Girnar Hill was totally a jain pilgrimage but situations change.  Saying ""Jain mandir bhi h"" isn\'t right.  we\'ve many expectations from Government to get our rights back.  #NarendraModi  #Jainism #Media #aajtak #NDTV #Government #Indian'",b'MayankJ13024940',0
2020-10-24 13:17:25,b'Its a high time when we must start protesting for #antihindu #media. Please do let me know what hindus have done wrong to you. Everytime any wrong guy comes into market its always named hindu. #aajtak #timesofindia #boycottwrongnews.',b'ratneshmishra1',7
2020-10-24 13:14:47,"b'#AajTak, the FakeNews mill, fined Rs. 100000 for broadcasting #FakeNews about #SushantSinghRajput. AajTak manufactured I repeat MANUFACTURED three Tweets out of the blue and claimed that the tweets were the last Tweets of #Sushant.  #NBSA slapped the fine. https://t.co/AZx8PQzeyR'",b'EkDesiBhai',374
2020-10-24 13:12:29,b'@Soumyadipta @ShubhangiR5 First time we will be waiting to watch #aajtak besabri se... yeh toh latest news hai...\xf0\x9f\xa4\xa3',b'immeeky1',8
2020-10-24 13:01:08,b'@republic #ParamBirScam  villain Vs the truth @republic ?See who ll win? Now no other political parties are interuping between maharashtra govt and @republic why ? Because of upcoming elections ?Why #IndiaTv #NDTV #zeenews #aajtak these famaous channel are quiet?Where there loyalty gone?',b'divyloveualways',9
2020-10-24 12:45:22,b'#Garba for persons with #disabilityawareness  for Joyful Learning https://t.co/8tNwPFbeJh via @YouTube  #instagood  #republictv #RepublicTV  #IndiaToday  #TimesNow  #ABPnews  #Aajtak  #sudarshannews  #Indiatv  #zeenews  #Cnnnews18  #indianmedia  #Media_coverage  #ArnabGoswamy',b'joinmanovikas',230
2020-10-24 12:44:33,b'#Garba for persons with #disabilityawareness  for Joyful Learning https://t.co/81LtbBX5Hz via @YouTube #Doordarshan #C4News  @AmarUjalaNews  @ANI  @news18dotcom #indianmedia  #news #media  #ndtv  #aajtak  #hisarnews  #sirsanews  #instagram  #indiannews  #indianewsupdates',b'ManovikasCC',84
2020-10-24 12:40:43,"b'The News Broadcasting Standards Authority has directed television channels #AajTak, #ZeeNews, #News24 and #IndiaTV to comply with its order to issue an apology for its insensitive reporting and sensationalised reporting of actor #SushantSinghRajput\xe2\x80\x99s death, Live Law reported. https://t.co/5gPzea98NM'",b'RapidLeaksIndia',1107
2020-10-24 12:37:48,b'#aajtak to apologize on 27oct 2020 at 8.00pm for showing fake #Tweet  #vichar #bharat #India #Media #JaiHind',b'vicharbharat01',11
2020-10-24 12:36:24,b'#aajtak #IndiaTv etc. Are ordered to apologize on #SSRCase #FakeNews by #NBSA',b'vicharbharat01',11
2020-10-24 12:09:59,"b'News Broadcasting Standards Authority directs #Aajtak to air apology on October 27 at 8 PM, in its order on complaint regarding fake tweets telecast relating to actor Sushant Singh Rajput. Fine of one lakh imposed on the channel.   #NBSA #SushantSinghRajput  @aajtak #mediatrial https://t.co/s2ayzeaKhW'",b'vikasjitiwari',1652
2020-10-24 11:54:25,b'#Mashavara 53.0Challenges faced by the parents of children with #special ... https://t.co/LCWUhaW1KU via @YouTube #ndtv  #aajtak  #hisarnews  #sirsanews  #instagram  #indiannews  #indianewsupdates  #latestnews  #instagood  #republictv #RepublicTV  #IndiaToday  #TimesNow  #ABPnews',b'joinmanovikas',230
2020-10-24 11:53:02,b'#Mashavara 53.0-Challenges faced by the parents of children with special ... https://t.co/RwuqnkYeW5 via @YouTube #Doordarshan #C4News  @AmarUjalaNews  @ANI  @news18dotcom #indianmedia  #news #media  #joinmanovikas #ndtv  #aajtak  #hisarnews  #sirsanews  #instagram  #indiannews',b'AlokBhuwan',18
2020-10-24 11:44:00,"b'@AshokShrivasta6 What I am seeing since last few months, you are the only guy sir who is responding on this matter. Rest all media channels are doing their business and they respond as per their calculated profit. Shame on Lutians Media. #aajtak #NDTV #RepublicTV #IndiaTv #tv9 #rohitsardana'",b'Krishna52451962',17
2020-10-24 10:37:51,"b'News Broadcasting Standards Authority (NBSA) directs #aajtak , #ZeeNews , #IndiaTv and #RepublicBharat to air apologies for violating journalistic norms while reporting of #SushantSinghRajputDeathCase  #\xe0\xa4\x9d\xe0\xa5\x82\xe0\xa4\xa0_\xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa4\xbe_\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x8b_\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xab\xe0\xa5\x80 https://t.co/pBkSIIJjKH'",b'vivekbajpai84',2508
2020-10-24 10:35:07,b'Please please request you to publish UP Police Sub Inspector vacancy. #publish_upsi_notification CMO #YogiAdityanath #myogiadityanath #CMOfficeUP #dgpup #drdineshbjp #upgovt #ZeeNews #aajtak #RepublicBharat',b'AmanSiddique49',25
2020-10-24 10:29:13,"b'In addition of tendering public apology, @aajtak will also pay fine of 100,000 inr for incorrect reporting on #SSRCase #SSRDeathCase ##aajtak https://t.co/dL3eA01glS'",b'zaid_arif',1076
2020-10-24 10:24:32,b'@barandbench @IndiaToday @aajtak @BARCIndia lightening speed news channel  will play #SoSorry #IndiaToday  #aajtak',b'vsalgotra',1222
2020-10-24 10:17:48,b'DREAMS to become A SOldier : HOw is the josh  inner soul after AFCAT 2 2020 : whats that ??  #NDTV #aajtak #afcat2020 #afcat_transparency #afcat_answerkey @PMOIndia @IAF_MCC @TheLallantop @studyiq @WIONew @cdacindia @DefenceMinIndia',b'harshit03408883',2
2020-10-24 10:16:01,b'Need 50% restructuring for mini 6month till 31st March 2021 #rbigovernor #pmofindia #SupremeCourtOfIndia #FinanceMinister need your help business is in  50 to 60 % loss plz help #ZeeNews #IndiaToday #aajtak plz take care of citizens of your country \xf0\x9f\x99\x8f \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'SaurabhKalia11',0
2020-10-24 10:04:49,b'Johar Jharkhand \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Happy Navratri \xf0\x9f\x99\x8f\xf0\x9f\x98\x80 #DurgaPuja #DurgaPuja2020 #jharkhandt20 #dhurwa #aajtak https://t.co/frWGdBuQii',b'AkashKu86753129',5
